Geography,CalendarYear,Concentration_Group,Quarter_Group_Name,Systems_By_Max_Concentration,People_By_Max_Concentration,Systems_By_Mean_Concentration,People_By_Mean_Concentration,County_Code1
Erie,2016,SUNNY ACRES MOBILEHOME PARK,PA6250023,3.59,mg/L,75,49,
Erie,2016,DAVIS ESTATES,PA6250804,5.02,mg/L,50,49,
Erie,2016,UNION CITY MUNICIPAL AUTHORITY,PA6250064,0.11,mg/L,"3,623",49,
Erie,2016,PALMER SHORE WATER,PA6250035,0.62,mg/L,147,49,
Erie,2016,COUNTRY GARDENS TRAILER COURT,PA6250055,1.09,mg/L,150,49,
Erie,2016,FRELIGHS WHISPERING PINES MHP,PA6250097,3.49,mg/L,32,49,
Erie,2016,GREENE TOWNSHIP WATER SYSTEM,PA6250077,0.7,mg/L,98,49,
Erie,2016,CROSS STATION MOBILE HOME PARK,PA6250044,0.2,mg/L,89,49,
Erie,2016,NORTH EAST BOROUGH WATER DEPT,PA6250061,0.7,mg/L,"4,601",49,
Erie,2016,RAINBOW VALLEY MOBILE HOME,PA6250089,0.47,mg/L,450,49,
Erie,2016,MUNICIPAL AUTHORITY OF CORRY,PA6250012,1.23,mg/L,"7,800",49,
Fayette,2016,MUNI AUTH OF WASHINGTON TWP,PA5260009,0.61,mg/L,"9,100",51,
Fayette,2016,ALBERT GALLATIN MUNI AUTH,PA5260027,0.7,mg/L,"2,594",51,
Fayette,2016,BELLE VERNON BORO MUNI AUTH,PA5260004,0.7,mg/L,"6,000",51,
Fayette,2016,FAIRCHANCE BORO WATER DEPT,PA5260007,0.7,mg/L,"2,174",51,
Fayette,2016,NATIONAL PIKE WATER AUTH,PA5260048,0.7,mg/L,"2,800",51,
Fayette,2016,STATE LINE MUNI SVCS AUTH,PA5260035,0.7,mg/L,95,51,
Fayette,2016,PA-AMERICAN WATER-BROWNSVILLE,PA5260005,0.46,mg/L,"11,890",51,
Fayette,2016,MOUNTAIN WATER ASSN,PA5260032,0.7,mg/L,"3,400",51,
Fayette,2016,INDIAN CREEK VALLEY WATER AUTH,PA5260011,0.42,mg/L,"7,000",51,
Fayette,2016,MAWC YOUGH PLANT,PA5260036,1,mg/L,"140,000",51,
Fayette,2016,NEW MEADOW RUN,PA5260042,0.7,mg/L,300,51,
Fayette,2016,SPRING VALLEY,PA5260043,0.7,mg/L,250,51,
Fayette,2016,NEWELL MUNI AUTH,PA5260014,0.7,mg/L,520,51,
Fayette,2016,NORTH FAYETTE CNTY MUNI AUTH,PA5260019,0.62,mg/L,"35,590",51,
Forest,2016,WEST HICKORY WATER COMPANY,PA6270002,1.5,mg/L,450,53,
Forest,2016,AQUA PA JENKS TWP WTP,PA6270008,0.1,mg/L,"4,320",53,
Forest,2016,TIONESTA BOROUGH WATER SUPPLY,PA6270001,0.19,mg/L,610,53,
Franklin,2016,CHAMBERSBURG BORO WATER SYS,PA7280005,0.1,mg/L,"40,000",55,
Franklin,2016,GUILFORD WATER AUTH,PA7280038,0.23,mg/L,"26,000",55,
Franklin,2016,SHANGRI LA MHP,PA7280017,1,mg/L,95,55,
Franklin,2016,VALLEY VIEW MANOR MHP,PA7280047,0.1,mg/L,130,55,
Franklin,2016,GREEN GROVE TRAILER CT,PA7280010,6.72,mg/L,63,55,
Franklin,2016,QUINCY VILLAGE SYSTEM,PA7280025,1.1,mg/L,450,55,
Franklin,2016,BORO OF WAYNESBORO,PA7280032,0.08,mg/L,"13,000",55,
Franklin,2016,FRANKLIN CO GEN AUTH,PA7280045,0.4,mg/L,"4,400",55,
Franklin,2016,SUNNY SPOT APARTMENTS,PA7280071,0.48,mg/L,27,55,
Franklin,2016,ANTRIM TOWNSHIP MUNICIPAL AUTH,PA7280063,5.4,mg/L,975,55,
Franklin,2016,EDENVILLE WATER ASSN INC,PA7280046,0.2,mg/L,491,55,
Franklin,2016,SOUTH MOUNTAIN RESTORATION CTR,PA7280042,0.1,mg/L,"2,500",55,
Franklin,2016,PLEASANT HALL MANOR,PA7280060,0.1,mg/L,50,55,
Franklin,2016,MICHAUX MANOR LIVING CTR,PA7280062,2.6,mg/L,73,55,
Franklin,2016,STATE LINE MHP,PA7280015,4.78,mg/L,65,55,
Franklin,2016,WADELS MHP,PA7280027,2.1,mg/L,97,55,
Franklin,2016,INDIAN LAKE CAMP CORP,PA7280055,0.1,mg/L,125,55,
Franklin,2016,KENSINGTON HGTS SUBDIVISION,PA7280064,0.1,mg/L,204,55,
Franklin,2016,LENWOOD PARK,PA7280058,0.1,mg/L,220,55,
Franklin,2016,BEAR VALLEY JOINT AUTH,PA7280043,1.4,mg/L,"12,000",55,
Franklin,2016,MOUNT ROCK MANOR,PA7280053,6.84,mg/L,350,55,
Franklin,2016,QUINCY TWP WATER SYSTEM,PA7280074,3.2,mg/L,150,55,
Franklin,2016,SCOTT WATER CO,PA7280036,4.08,mg/L,90,55,
Franklin,2016,SILVER SPRING WATER ASSN,PA7280061,0.1,mg/L,130,55,
Franklin,2016,HERITAGE HILLS RETIREMENT HOME,PA7280066,0.1,mg/L,45,55,
Franklin,2016,SANDY HOOK WATER ASSOCIATION,PA7280070,0.52,mg/L,80,55,
Franklin,2016,MONT ALTO MUNICIPAL AUTHORITY,PA7280040,1.83,mg/L,"1,867",55,
Franklin,2016,MERCERSBURG MUNI WATER AUTH,PA7280021,0.1,mg/L,"2,350",55,
Franklin,2016,WASHINGTON TWP MUNI AUTH,PA7280026,0.93,mg/L,"5,705",55,
Franklin,2016,GREENCASTLE AREA WATER AUTH,PA7280014,5.1,mg/L,"5,500",55,
Fulton,2016,MCCONNELLSBURG BORO MUNI AUTH,PA4290005,2.17,mg/L,"2,000",57,
Fulton,2016,LEISURE LIVING RETIREMENT HOME,PA4290830,0.42,mg/L,40,57,
Fulton,2016,NEEDMORE WATER SUPPLY,PA4290004,0.44,mg/L,276,57,
Fulton,2016,WELLS TANNERY WATER SYS,PA4290003,1.27,mg/L,95,57,
Greene,2016,DUNKARD VALLEY JT MUNI AUTH,PA5300007,0.7,mg/L,"1,233",59,
Greene,2016,EAST DUNKARD WATER AUTHORITY,PA5300012,0.7,mg/L,"3,962",59,
Greene,2016,SOUTHWESTERN PA WATER AUTH,PA5300017,0.68,mg/L,"40,000",59,
Greene,2016,MUN AUTH BORO OF CARMICHAELS,PA5300005,0.18,mg/L,"4,700",59,
Huntingdon,2016,ST CORRECT INST HUNTINGDON,PA4310028,0.5,mg/L,"2,200",61,
Huntingdon,2016,HUNTINGDON BORO WATER DEPT,PA4310012,0.5,mg/L,"13,776",61,
Huntingdon,2016,HARTSLOG COURTS,PA4310298,1.05,mg/L,90,61,
Huntingdon,2016,NEELYTON WATER COOP,PA4310017,0.5,mg/L,57,61,
Huntingdon,2016,WARRIORS MARK GEN AUTH,PA4310031,3.05,mg/L,750,61,
Huntingdon,2016,MAPLETON MUNI WATER AUTH,PA4310015,0.5,mg/L,570,61,
Huntingdon,2016,ORBISONIA ROCKHILL JT MUN AUTH,PA4310025,0.1,mg/L,"1,200",61,
Huntingdon,2016,SHIRLEYSBURG MUNI AUTH,PA4310027,0.5,mg/L,225,61,
Huntingdon,2016,MT UNION MUNICIPAL AUTH,PA4310016,0.76,mg/L,"5,801",61,
Huntingdon,2016,BROADTOP CITY WATER AUTH,PA4310023,0.5,mg/L,350,61,
Huntingdon,2016,ALEXANDRIA BORO WATER AUTH,PA4310021,0.5,mg/L,815,61,
Huntingdon,2016,WOOD BROAD TOP WELLS JMUN AUTH,PA4310032,0.5,mg/L,800,61,
Huntingdon,2016,PETERSBURG BOR WATER AUTH,PA4310019,0.5,mg/L,650,61,
Huntingdon,2016,THREE SPRINGS BORO WATER CO,PA4310030,0.75,mg/L,350,61,
Huntingdon,2016,WALKER TWP MUNI AUTH,PA4310038,1.27,mg/L,"1,450",61,
Huntingdon,2016,SALTILLO MUNI WATER WORKS,PA4310026,0.75,mg/L,350,61,
Huntingdon,2016,DUDLEY CARBON COALMONT JM AUTH,PA4310011,0.5,mg/L,403,61,
Huntingdon,2016,GRIER SCH,PA4310022,2.31,mg/L,450,61,
Huntingdon,2016,MILL CREEK AREA MUN AUTH,PA4310050,0.5,mg/L,"1,108",61,
Huntingdon,2016,YOUTH FORESTRY CAMP NO 3,PA4310014,0.5,mg/L,43,61,
Indiana,2016,BLAIRSVILLE MUNI AUTH,PA5320006,0.22,mg/L,"3,900",63,
Indiana,2016,HILLSDALE NURSING AND REHAB,PA5320017,0.7,mg/L,100,63,
Indiana,2016,ICMSA  CROOKED CREEK,PA5320109,1.86,mg/L,"9,400",63,
Indiana,2016,GLEN CAMPBELL WATER WORKS,PA5320016,0.7,mg/L,260,63,
Indiana,2016,CLYMER BORO MUNI AUTH,PA5320009,0.2,mg/L,"1,700",63,
Indiana,2016,GREEN TOWNSHIP MA COOKPORT,PA5320029,0.1,mg/L,285,63,
Indiana,2016,GREEN TWP MUN AUTH BARR SLOPE,PA5320010,0.21,mg/L,285,63,
Indiana,2016,CRYSTAL WATERS PERSONAL CARE,PA5320332,0.7,mg/L,80,63,
Indiana,2016,ICMSA ROSSITER,PA5320034,2.07,mg/L,500,63,
Indiana,2016,PA AMERICAN WATER CO-INDIANA D,PA5320025,1.1,mg/L,"22,360",63,
Indiana,2016,ICMSA  PINE TOWNSHIP,PA5320042,1.56,mg/L,"1,932",63,
Indiana,2016,ICMSA PLUMVILLE,PA5320026,1.7,mg/L,310,63,
Indiana,2016,ICMSA CHERRYTREE,PA5320007,1.64,mg/L,400,63,
Indiana,2016,GREEN TWP MUN AUTH-COMMODORE,PA5320011,0.1,mg/L,350,63,
Indiana,2016,CENTRAL INDIANA CO WATER AUTH,PA5320040,0.51,mg/L,"4,635",63,
Indiana,2016,ICMSA ARCADIA,PA5320041,2.88,mg/L,100,63,
Jefferson,2016,PA AMERICAN WATER PUNXSY,PA6330010,0.29,mg/L,"8,801",65,
Jefferson,2016,BROOKVILLE MUNICIPAL AUTH,PA6330004,0.1,mg/L,"6,220",65,
Jefferson,2016,FALLS CREEK BORO MUN AUTH,PA6330007,0.05,mg/L,"1,440",65,
Jefferson,2016,REYNOLDSVILLE WATER AUTH,PA6330011,1.12,mg/L,"2,908",65,
Jefferson,2016,ELDRED TWP MUNIC AUTH,PA6330840,0.41,mg/L,382,65,
Jefferson,2016,SUMMERVILLE BORO MUN AUTH,PA6330012,0.1,mg/L,700,65,
Jefferson,2016,HENDERSON TOWNSHIP MUN AUTH,PA6330014,0.5,mg/L,354,65,
Jefferson,2016,KNOX TOWNSHIP MUNIC AUTHORITY,PA6330008,0.1,mg/L,300,65,
Juniata,2016,BROOKLINE MANOR,PA4340003,5.61,mg/L,100,67,
Juniata,2016,GRONINGER FARMS ARCH ROCK,PA4340005,0.82,mg/L,175,67,
Juniata,2016,BENNERS MHP,PA4340006,4.5,mg/L,60,67,
Juniata,2016,RICHFIELD AREA JOINT AUTH,PA4340009,0.25,mg/L,"1,000",67,
Juniata,2016,LOCUST GROVE RETIREMENT HOME,PA4340016,0.5,mg/L,177,67,
Juniata,2016,JUNIATA HAVEN MHP,PA4340011,0.5,mg/L,80,67,
Juniata,2016,BERRYS PERSONAL CARE CTR,PA4340019,1.3,mg/L,80,67,
Juniata,2016,MCALISTERVILLE AREA JOINT AUTH,PA4340002,2.74,mg/L,825,67,
Juniata,2016,AQUA PA INC MERIBAH WATER CO,PA4340018,0.48,mg/L,135,67,
Juniata,2016,THOMPSONTOWN MUNI AUTH,PA4340007,0.18,mg/L,"1,000",67,
Juniata,2016,PORT ROYAL MUNI AUTH,PA4340010,0.26,mg/L,950,67,
Juniata,2016,ORCHARD HILLS APTS,PA4340017,1.4,mg/L,499,67,
Juniata,2016,MIFFLINTOWN MUNI AUTH,PA4340008,0.1,mg/L,"4,450",67,
Juniata,2016,BROOKLINE RETIREMENT VILLAGE,PA4340001,6.14,mg/L,65,67,
Lackawanna,2016,VISION  QUEST,PA2350045,0.85,mg/L,30,69,
Lackawanna,2016,GREENFIELD ACRES MHP,PA2350063,0.8,mg/L,90,69,
Lackawanna,2016,AQUA PA WATER CO MOSCOW,PA2350027,0.1,mg/L,600,69,
Lackawanna,2016,ST MARYS VILLA NURSING HOME,PA2350051,0.4,mg/L,353,69,
Lackawanna,2016,PAWC BROWNELL,PA2359001,0.1,mg/L,"12,560",69,
Lackawanna,2016,AQUA PA WATER CO MOUNT COBB,PA2350070,0.1,mg/L,120,69,
Lackawanna,2016,RBE WATER ASSOCIATION INC,PA2350033,0.55,mg/L,175,69,
Lackawanna,2016,MADISON ESTATES,PA2350061,1.49,mg/L,60,69,
Lackawanna,2016,BENTON SPRINGS LLC,PA2350005,0.4,mg/L,150,69,
Lackawanna,2016,AQUA PA WATER CO EDGEWOOD,PA2350055,0.1,mg/L,265,69,
Lackawanna,2016,FINCH HILL WATER CO,PA2350062,0.1,mg/L,150,69,
Lackawanna,2016,AQUA PA WATER CO CHINCHILLA I,PA2350037,0.1,mg/L,100,69,
Lackawanna,2016,PAWC LAKE SPANGENBERG,PA2350026,1.05,mg/L,370,69,
Lackawanna,2016,AQUA PA WATER CO THORNHURST CC,PA2350053,0.1,mg/L,500,69,
Lackawanna,2016,LAKESIDE VILLAGE,PA2350016,0.34,mg/L,86,69,
Lackawanna,2016,SUNSET MOBILE HOME PARK,PA2350019,0.1,mg/L,150,69,
Lackawanna,2016,HAPPY ACRES DEVELOPMENT,PA2350039,1.57,mg/L,168,69,
Lackawanna,2016,TALL TIMBERS VILLAGE M H P,PA2350012,0.36,mg/L,275,69,
Lackawanna,2016,AQUA PA WATER CO CHINCHILLA II,PA2350036,0.1,mg/L,340,69,
Lackawanna,2016,MOSCOW DEV ASSOC,PA2350002,2.94,mg/L,140,69,
Lackawanna,2016,EVERGREEN MOBILE HOME PARK,PA2350010,0.33,mg/L,75,69,
Lackawanna,2016,EDGEWOOD MOBILE HOME PARK,PA2350054,0.62,mg/L,117,69,
Lackawanna,2016,PAWC FALLBROOK,PA2359006,0.05,mg/L,"2,851",69,
Lackawanna,2016,HILLSIDE MOBILE HOME PARK,PA2350014,1.02,mg/L,99,69,
Lackawanna,2016,PAWC LAKE SCRANTON,PA2359008,0.98,mg/L,"134,570",69,
Lackawanna,2016,MT LAUREL MOBILE HOME VILLAGE,PA2350013,0.88,mg/L,120,69,
Lackawanna,2016,AQUA PA WATER CO GLENBURN,PA2350025,0.1,mg/L,150,69,
Lackawanna,2016,CLARKS SUMMIT STATE HOSPITAL,PA2350028,1.51,mg/L,747,69,
Lackawanna,2016,POCONO MOBILE MANOR MHP,PA2350056,1.49,mg/L,157,69,
Lackawanna,2016,SCOTT MOBILE HOME PARK,PA2350001,0.9,mg/L,64,69,
Lackawanna,2016,AQUA PA JEFFERSON HEIGHTS,PA2350057,0.77,mg/L,498,69,
Lackawanna,2016,HI VIEW TERRACE MOBILE HOME PK,PA2350043,0.1,mg/L,97,69,
Lackawanna,2016,AQUA PA WATER CO SUNSET HILLS,PA2350029,0.1,mg/L,145,69,
Lackawanna,2016,AQUA PA WATER CO STANTON,PA2350004,0.1,mg/L,425,69,
Lackawanna,2016,PAW OLWEN HEIGHTS,PA2350032,1.65,mg/L,330,69,
Lackawanna,2016,AQUA PA WATER CO ELMBROOK,PA2350034,0.1,mg/L,300,69,
Lackawanna,2016,BELLE AIRE ACRES,PA2350066,0.43,mg/L,55,69,
Lackawanna,2016,LOG ROAD VILLAGE,PA2350065,0.68,mg/L,68,69,
Lancaster,2016,BROOKSIDE MOBILEHOME PARK,PA7360006,4.96,mg/L,176,71,
Lancaster,2016,RIDGEWOOD MANOR MHP,PA7360079,0.15,mg/L,260,71,
Lancaster,2016,EAST HEMPFIELD WATER AUTH,PA7360063,5.96,mg/L,"20,220",71,
Lancaster,2016,PEQUEA WATER COOP ASSN,PA7360138,8.82,mg/L,85,71,
Lancaster,2016,COUNTRYSIDE MHP,PA7360054,9.65,mg/L,30,71,
Lancaster,2016,LOCUSTWOOD MOBILEHOME PARK,PA7360114,4.3,mg/L,81,71,
Lancaster,2016,ADAMSTOWN BOROUGH,PA7360001,1.53,mg/L,"1,800",71,
Lancaster,2016,EAST DONEGAL TOWNSHIP,PA7360083,3.26,mg/L,"3,795",71,
Lancaster,2016,GROFFDALE MOBILEHOME PARK,PA7360098,0.5,mg/L,98,71,
Lancaster,2016,HERR MOBILEHOME PARK,PA7360064,3.5,mg/L,48,71,
Lancaster,2016,ZERBE SISTERS,PA7360094,6.13,mg/L,210,71,
Lancaster,2016,NORTHWESTERN LANCASTER CO AUTH,PA7360164,4.39,mg/L,"2,770",71,
Lancaster,2016,CALAMUS ESTATES,PA7360032,7.45,mg/L,140,71,
Lancaster,2016,ELIZABETHTOWN AREA WATER,PA7360124,3.35,mg/L,"18,900",71,
Lancaster,2016,MILLBROOKE EST,PA7360172,2.09,mg/L,98,71,
Lancaster,2016,SOUTHLAND HILLS MOBILE HOMES,PA7360103,7.02,mg/L,96,71,
Lancaster,2016,PINEHURST MANOR,PA7360092,4.59,mg/L,47,71,
Lancaster,2016,MT JOY BORO AUTH,PA7360091,4.55,mg/L,"14,150",71,
Lancaster,2016,SCENIC VIEW,PA7360021,2.5,mg/L,45,71,
Lancaster,2016,RIDGE ON THE COMMONS,PA7360182,4.71,mg/L,30,71,
Lancaster,2016,WOODLAND EST MOBILE HOMES,PA7360100,9.86,mg/L,72,71,
Lancaster,2016,DENVER BORO,PA7360017,2.71,mg/L,"3,861",71,
Lancaster,2016,TIMBER VILLA,PA7360051,6.17,mg/L,140,71,
Lancaster,2016,CHRISTIANA MUNI WATER AUTH,PA7360007,6.92,mg/L,"1,100",71,
Lancaster,2016,NEW HOLLAND BOROUGH,PA7360099,5.29,mg/L,"5,500",71,
Lancaster,2016,PLATEAU VILLAGE MHP,PA7360072,3.58,mg/L,125,71,
Lancaster,2016,EAST COCALICO TOWNSHIP,PA7360113,4.1,mg/L,"6,735",71,
Lancaster,2016,NOLTS RED MAPLE MHP,PA7360068,4.37,mg/L,51,71,
Lancaster,2016,WARWICK TWP ROTHSVILLE SYSTEM,PA7360120,5.63,mg/L,"2,846",71,
Lancaster,2016,COLUMBIA WATER CO,PA7360123,2.66,mg/L,"25,001",71,
Lancaster,2016,CITY OF LANCASTER,PA7360058,2.95,mg/L,"120,000",71,
Lancaster,2016,COCALICO MANOR MHP,PA7360170,0.1,mg/L,92,71,
Lancaster,2016,VALLEY VIEW MHP MORGANTOWN,PA7360155,1.22,mg/L,60,71,
Lancaster,2016,EDEN GLEN VILLAGE,PA7360110,7.53,mg/L,76,71,
Lancaster,2016,PINEVIEW ACRES,PA7360158,0.1,mg/L,30,71,
Lancaster,2016,BLUE BALL WATER AUTHORITY,PA7360005,3.94,mg/L,"1,946",71,
Lancaster,2016,HEMLOCK ACRES COURT,PA7360157,5.45,mg/L,125,71,
Lancaster,2016,PENNY FARM MHP,PA7360056,4.02,mg/L,51,71,
Lancaster,2016,CONESTOGA HILLS COMMUNITY,PA7360015,3.42,mg/L,150,71,
Lancaster,2016,CONESTOGA MOBILE HOME PARK,PA7360014,3.95,mg/L,65,71,
Lancaster,2016,JUBILEE MHP,PA7360108,6.09,mg/L,30,71,
Lancaster,2016,HOMEROOM COMMONS APARTMENTS,PA7360081,6.72,mg/L,34,71,
Lancaster,2016,SUNNY CREST HOME,PA7360061,0.78,mg/L,71,71,
Lancaster,2016,MT HOPE NAZARENE RET COMM,PA7360077,6.24,mg/L,141,71,
Lancaster,2016,IRVIN MANHEIM MHP,PA7360074,3.8,mg/L,77,71,
Lancaster,2016,STRASBURG MUNI WATER AUTH,PA7360118,5.16,mg/L,"3,100",71,
Lancaster,2016,WEST EARL WATER AUTHORITY,PA7360143,4.28,mg/L,"4,327",71,
Lancaster,2016,SPRING LAKE PARK,PA7360076,0.1,mg/L,35,71,
Lancaster,2016,WELSH MOUNTAIN HOME,PA7360047,3.73,mg/L,53,71,
Lancaster,2016,TAMARACK & SPREAD EAGLE MHP,PA7360109,2.1,mg/L,300,71,
Lancaster,2016,OAKRIDGE PARK,PA7360117,4.09,mg/L,75,71,
Lancaster,2016,STONEYHILL MHP,PA7360050,3.1,mg/L,160,71,
Lancaster,2016,WESTERN HEIGHTS,PA7360132,0.38,mg/L,330,71,
Lancaster,2016,AKRON BOROUGH,PA7360128,6.78,mg/L,"4,200",71,
Lancaster,2016,LITITZ BORO,PA7360126,5.93,mg/L,"9,397",71,
Lancaster,2016,GREEN ACRES,PA7360161,0.1,mg/L,93,71,
Lancaster,2016,MANHEIM AREA WATER & SEWER AUT,PA7360078,5.95,mg/L,"6,000",71,
Lancaster,2016,HILLTOP ACRES MHP,PA7360075,4.37,mg/L,98,71,
Lancaster,2016,LITTLE BRITAIN MHP,PA7360104,4.58,mg/L,80,71,
Lancaster,2016,VICTORIA MANOR EST,PA7360031,4.44,mg/L,120,71,
Lancaster,2016,FAIRMOUNT HOME,PA7360039,4.06,mg/L,350,71,
Lancaster,2016,BRERETON MANOR RETIREMENT HOME,PA7360178,3.04,mg/L,30,71,
Lancaster,2016,SMITHVILLE MHP,PA7360121,4,mg/L,166,71,
Lancaster,2016,ACORN ACRES,PA7360020,9.43,mg/L,50,71,
Lancaster,2016,HAWK VALLEY VILLAGE,PA7360016,4.07,mg/L,250,71,
Lancaster,2016,LOG CABIN COURT,PA7360004,3.65,mg/L,175,71,
Lancaster,2016,LANCASTER EST,PA7360090,6.44,mg/L,304,71,
Lancaster,2016,VILLAS AT GEORGETOWN,PA7360184,1.64,mg/L,30,71,
Lancaster,2016,MOUNTAINTOP MOBILEHOME PARK,PA7360156,5.27,mg/L,115,71,
Lancaster,2016,DRUMORE MHP,PA7360019,0.1,mg/L,40,71,
Lancaster,2016,TRIPLE J MHP,PA7360055,9.76,mg/L,200,71,
Lancaster,2016,TERRE HILL BOROUGH,PA7360119,6.29,mg/L,"1,295",71,
Lancaster,2016,MILLERSVILLE UNIV,PA7360127,5.43,mg/L,"7,950",71,
Lancaster,2016,MASONIC HOMES,PA7360025,7.2,mg/L,"3,200",71,
Lancaster,2016,HOLTWOOD MOBILE HOME PARK,PA7360057,0.1,mg/L,196,71,
Lancaster,2016,RIVER HAVEN MHP,PA7360002,4.45,mg/L,95,71,
Lancaster,2016,UPPER LEACOCK TOWNSHIP,PA7360140,4.96,mg/L,"7,734",71,
Lancaster,2016,PENN VALLEY VILLAGE,PA7360069,3.07,mg/L,225,71,
Lancaster,2016,DUTCH MOBILEHOME PARK,PA7360038,6.03,mg/L,45,71,
Lancaster,2016,HOUSTON RUN COMMUNITY,PA7360183,5.63,mg/L,50,71,
Lancaster,2016,BEAVER VALLEY MHP,PA7360101,5.38,mg/L,50,71,
Lancaster,2016,CHRISTS HOME FOR CHILDREN,PA7360176,6.25,mg/L,31,71,
Lancaster,2016,QUARRYVILLE BORO,PA7360112,6.28,mg/L,"3,150",71,
Lancaster,2016,EAST PETERSBURG BOROUGH,PA7360135,5.59,mg/L,"6,215",71,
Lancaster,2016,EPHRATA AREA JOINT AUTHORITY,PA7360045,3.76,mg/L,"17,937",71,
Lancaster,2016,BAINBRIDGE WATER AUTHORITY,PA7360003,5.42,mg/L,"1,200",71,
Lancaster,2016,ROLLING HILLS MHP,PA7360010,4.39,mg/L,280,71,
Lancaster,2016,WEST COCALICO TWP WATER AUTH,PA7360141,4.93,mg/L,"2,430",71,
Lancaster,2016,MAGIC CHEF MHP,PA7360024,6.67,mg/L,32,71,
Lancaster,2016,HERITAGE EST MOBILE HOMES,PA7360166,6.43,mg/L,330,71,
Lancaster,2016,QUARRYVILLE PRESBY RET COMM,PA7360167,0.1,mg/L,750,71,
Lancaster,2016,VILLAGE OF RIVERMOOR,PA7360080,3.25,mg/L,260,71,
Lancaster,2016,GLENWOOD MOBILEHOME PARK,PA7360048,6.14,mg/L,40,71,
Lancaster,2016,LAKEVIEW MOBILE HOME PARK,PA7360023,4.77,mg/L,275,71,
Lancaster,2016,CRESTWOOD COMMUNITY,PA7360052,4.8,mg/L,470,71,
Lancaster,2016,SCHOOLHOUSE APTS,PA7360029,3.74,mg/L,38,71,
Lancaster,2016,WATSON RUN,PA7360053,6.85,mg/L,150,71,
Lawrence,2016,NORTH STAR VILLAGE,PA6370017,0.7,mg/L,60,73,
Lawrence,2016,NEW CASTLE ESTATES,PA6370014,0.7,mg/L,80,73,
Lawrence,2016,EASTBROOK APARTMENTS,PA6370049,0.19,mg/L,71,73,
Lawrence,2016,WOODMERE ESTATES,PA6370047,0.1,mg/L,70,73,
Lawrence,2016,CEDAR ACRES MOBILE HOME PARK,PA6370910,0.1,mg/L,105,73,
Lawrence,2016,VILLA MARIA COMMUNITY CENTER,PA6370048,0.1,mg/L,360,73,
Lawrence,2016,MAJORS MOBILEHOME PARK,PA6370016,3.28,mg/L,44,73,
Lawrence,2016,HYLAND MOBILE HOME PARK,PA6370015,0.1,mg/L,56,73,
Lawrence,2016,FREDERICKS MHP,PA6370025,3.9,mg/L,75,73,
Lawrence,2016,COUNTRYSIDE ESTATES MHP,PA6370005,0.7,mg/L,39,73,
Lawrence,2016,CARRIAGE COURT PERSONAL CARE,PA6370958,0.7,mg/L,85,73,
Lawrence,2016,PA AMER WATER CO NEW CASTLE,PA6370034,0.79,mg/L,"43,640",73,
Lawrence,2016,PA AMER WATER CO ELLWOOD CTY,PA6370011,0.37,mg/L,"17,200",73,
Lawrence,2016,HERITAGE HILLS MHP,PA6370041,0.1,mg/L,220,73,
Lawrence,2016,BESSEMER BOROUGH WATER DEPT,PA6370003,1,mg/L,"1,100",73,
Lawrence,2016,VOLANT BOROUGH WATER DEPT,PA6370042,0.1,mg/L,112,73,
Lawrence,2016,SCOTTVIEW TERRACE MOBILE HOMES,PA6370026,0.19,mg/L,50,73,
Lawrence,2016,BOROUGH OF WAMPUM WATER DEPT,PA6370032,0.7,mg/L,750,73,
Lawrence,2016,COUNTRY ROADS MHP,PA6370019,0.19,mg/L,60,73,
Lebanon,2016,UPPER LAWN MHP,PA7380029,3.5,mg/L,345,75,
Lebanon,2016,GRETNA SPRINGS,PA7380045,0.58,mg/L,405,75,
Lebanon,2016,SUNRISE TRAILER CT,PA7380014,1.92,mg/L,200,75,
Lebanon,2016,LOCUST GROVE MHP,PA7380008,4.5,mg/L,49,75,
Lebanon,2016,N ANNVILLE MHP,PA7380004,0.74,mg/L,72,75,
Lebanon,2016,WEST LEBANON TWP WATER SUPPLY,PA7380040,4.35,mg/L,780,75,
Lebanon,2016,MYERSTOWN WATER AUTH,PA7380025,3.42,mg/L,"9,500",75,
Lebanon,2016,HEIDELBERG TWP MUNI AUTH,PA7380033,5.25,mg/L,990,75,
Lebanon,2016,HILL FARM ESTATE,PA7380002,4.45,mg/L,55,75,
Lebanon,2016,LEBANON WATER AUTH,PA7380010,0.3,mg/L,"57,000",75,
Lebanon,2016,TIMBER SERVICE CORP,PA7380022,2.1,mg/L,50,75,
Lebanon,2016,COUNTRY ACRES MHP,PA7380026,4.14,mg/L,400,75,
Lebanon,2016,GREEN ACRES PARK,PA7380018,0.1,mg/L,280,75,
Lebanon,2016,BIG BOULDER MHP,PA7380012,2.85,mg/L,40,75,
Lebanon,2016,QUENTIN WATER CO,PA7380031,4.07,mg/L,700,75,
Lebanon,2016,NEWMANSTOWN WATER AUTH,PA7380028,3.39,mg/L,"2,335",75,
Lebanon,2016,RICHLAND BORO WATER SUPPLY,PA7380032,0.1,mg/L,"1,700",75,
Lebanon,2016,COUNTRYSIDE CHRISTIAN COMM,PA7380001,0.1,mg/L,100,75,
Lebanon,2016,MT GRETNA HEIGHTS WATER SYS,PA7380039,0.28,mg/L,125,75,
Lebanon,2016,MT GRETNA CAMP MEETING ASSN,PA7380023,0.1,mg/L,375,75,
Lebanon,2016,TWIN MAPLES MHP,PA7380027,0.1,mg/L,280,75,
